,AF,RI
Acosmium_lentiscifolium,0,0.22
Albizia_inundata,0.994750656,0.33
Albizia_niopoides,0.939393939,0.3
Allophylus_racemosus,0,0
Alseis_pickelii,0,0
Amburana_cearensis,0,1
Anadenanthera_colubrina,0.013157895,0.13
Annona_coriacea,0,0.33
Annona_leptopetala,0,2.1
Annona_montana,1,0.83
Annona_spinescens,0.993710692,3.88
Annona_sylvatica,1,0.5
Annona_vepretorum,0,0
Aralia_warmingiana,0,1
Aspidosperma_cuspa,0,0.88
Aspidosperma_macrocarpon,0,0
Aspidosperma_polyneuron,0,0.2
Aspidosperma_pyrifolium,0,0
Aspidosperma_subincanum,0,0.08
Astronium_fraxinifolium,0.146341463,0.02
Auxemma_oncocalyx,0,0.73
Bauhinia_acuruana,1,1.14
Bauhinia_catingae,1,0
Bauhinia_rufa,1,0.63
Blanchetiodendron_blanchetii,0,0.46
Bougainvillea_praecox,0,0.4
Bowdichia_virgilioides,0,0
Brosimum_gaudichaudii,0.111111111,0.11
Buchenavia_tomentosa,0,0.4
Byrsonima_chrysophylla,0,4
Calliandra_depauperata,0,0
Calliandra_foliolosa,1,1
Callisthene_fasciculata,0.06122449,0.78
Campomanesia_sessiliflora,0,1
Campomanesia_velutina,0,0
Capparis_flexuosa,1,2.5
Capsicum_parviflorum,0,5
Caryocar_brasiliense,0,0
Casearia_commersoniana,1,0.48
Casearia_gossypiosperma,1,0.92
Casearia_rupestris,0,0
Casearia_selloana,0,2.4
Casearia_sylvestris,0.6,0.8
Cecropia_pachystachya,1,0.29
Cedrela_fissilis,0,0
Celtis_brasiliensis,0,1.9
Celtis_ehrenbergiana,1,1.03
Centrolobium_microchaete,1,4
Cereus_jamacaru,0.1875,0.23
Cestrum_axillare,1,0
Chloroleucon_acacioides,0,0.5
Chloroleucon_dumosum,0.875,1.19
Chloroleucon_foliolosum,0.384615385,0.69
Chomelia_brasiliana,0.663461538,1.55
Chomelia_pohliana,1,3.19
Chomelia_sericea,1,1.07
Coccoloba_acuminata,1,4.86
Coccoloba_schwackeana,0,1.31
Combretum_duarteanum,0.24,1.2
Commiphora_leptophloeus,0,1
Connarus_suberosus,0,0
Copaifera_coriacea,0,2.93
Copaifera_langsdorffii,0.037037037,0.52
Cordia_glabrata,0.133333333,0.33
Cordia_trichotoma,0,1
Cordiera_sessilis,0,1.23
Croton_urucurana,1,1.15
Curatella_americana,0.095238095,0.48
Cybistax_antisyphilitica,0,0
Cynophalla_flexuosa,0.777777778,0.33
Cyrtocarpa_caatingae,0,0.5
Dalbergia_acuta,0,0
Dalbergia_cearensis,0,2.33
Dilodendron_bipinnatum,0,0.37
Dimorphandra_mollis,0,0
Diospyros_burchellii,0.28,0.24
Diospyros_hispida,1,1
Dipteryx_alata,0,0.48
Enterolobium_contortisiliquum,0,0
Enterolobium_timbouva,0,0
Erythroxylum_betulaceum,0,3
Erythroxylum_caatingae,0.090909091,2.55
Erythroxylum_nummularia,0,0.57
Erythroxylum_revolutum,0.333333333,1.33
Eugenia_dysenterica,0,0.13
Eugenia_florida,1,0.44
Eugenia_ligustrina,1,1.67
Eugenia_uniflora,0.772727273,1.36
Fridericia_bahiensis,0,0
Galipea_ciliata,0,1.67
Genipa_americana,0.970588235,0.26
Geoffroea_spinosa,1,0.2
Goniorrhachis_marginata,0,0.42
Guapira_tomentosa,0,1
Guazuma_ulmifolia,0.707317073,0.24
Handroanthus_heptaphyllus,0,0
Handroanthus_impetiginosus,0,0.15
Handroanthus_ochraceus,0,0.08
Handroanthus_spongiosus,0,0.2
Heteropterys_byrsonimifolia,0.3,0.4
Himatanthus_obovatus,0,0
Hirtella_gracilipes,0,3.67
Hymenaea_courbaril,1,0
Hymenaea_martiana,0.068493151,0.18
Hymenaea_stigonocarpa,0,0.25
Inga_laurina,1,1.22
Inga_vera,1,0.73
Jacaranda_brasiliana,0,0.09
Jatropha_mollissima,0.12,0.16
Jatropha_palmatifolia,0,0
Lafoensia_pacari,0,0
Libidibia_ferrea,0.222222222,0.78
Licania_rigida,1,8.54
Lonchocarpus_campestris,0,0
Lonchocarpus_montanus,0,0.4
Luehea_paniculata,0,0.25
Luetzelburgia_bahiensis,0,0
Machaerium_acutifolium,0.0625,0.13
Machaerium_floridum,0.5,0
Machaerium_opacum,0,0.14
Machaerium_punctatum,0,0
Machaerium_scleroxylon,0.117647059,0.41
Machaerium_villosum,0,0.25
Machaonia_brasiliensis,0.777777778,4.67
Maclura_tinctoria,0.75,0.75
Magonia_pubescens,0,0.21
Manihot_caerulescens,0,0
Manihot_tripartita,0,1
